NDC,ICD,RXCUI
49781009551,I24.8,
46122018248,I24.8,
76413030324,I24.8,
70000010201,I24.8,
70000010501,I24.8,
70000010701,I24.8,
49738007703,I24.8,
536100410,I24.8,
536329736,I24.8,
15127087436,I24.8,
49483005200,I24.8,
49638048136,I24.8,
61715004058,I24.8,
60760004724,I24.8,
49614053531,I24.8,
57344008001,I24.8,
15127022865,I24.8,
49483033400,I24.8,
68016008903,I24.8,
68016064212,I24.8,
68016025420,I24.8,
68016068936,I24.8,
50090294000,I24.8,
50090283200,I24.8,
50090161704,I24.8,
21130015712,I24.8,
21130021807,I24.8,
63187029772,I24.8,
63629282501,I24.8,
53808102801,I24.8,
52204011199,I24.8,
63739052201,I24.8,
21695066600,I24.8,
69168031806,I24.8,
54868119800,I24.8,
69168028801,I24.8,
69168031201,I24.8,
69168033140,I24.8,
363041407,I24.8,
55154675500,I24.8,
54868240503,I24.8,
76237011330,I24.8,
603002436,I24.8,
67046016230,I24.8,
49638000102,I24.8,
55154149300,I24.8,
603016821,I24.8,
52204010399,I24.8,
54868486400,I24.8,
54868244000,I24.8,
49349016302,I24.8,
50090238900,I24.8,
61919042071,I24.8,
70518003000,I24.8,
33992015707,I24.8,
363069112,I24.8,
69618001601,I24.8,
68071318901,I24.8,
68071408101,I24.8,
69618001501,I24.8,
51532023202,I24.8,
69103250105,I24.8,
37808060032,I24.8,
41250060014,I24.8,
63868037305,I24.8,
41250078008,I24.8,
69618001436,I24.8,
37808024601,I24.8,
69618001702,I24.8,
41250014601,I24.8,
36800088008,I24.8,
115171113,I24.8,
93304006,I24.8,
54057521,I24.8,
49884000702,I24.8,
60687030532,I24.8,
42291011660,I24.8,
67091012236,I24.8,
615350831,I24.8,
68071414802,I24.8,
67544052460,I24.8,
21695068400,I24.8,
50436012701,I24.8,
21130050308,I24.8,
21130010412,I24.8,
67046016630,I24.8,
67046016530,I24.8,
63941015712,I24.8,
904200940,I24.8,
54569000504,I24.8,
67091012436,I24.8,
70882012230,I24.8,
68210001506,I24.8,
68210002003,I24.8,
498200103,I24.8,
113077390,I24.8,
280202010,I24.8,
67751017201,I24.8,
280211010,I24.8,
280208018,I24.8,
280209036,I24.8,
280200010,I24.8,
47682045647,I24.8,
70264001301,I24.8,
70262030250,I24.8,
68391041690,I24.8,
70000014701,I24.8,
59779018330,I24.8,
52959037000,I24.8,
143178501,I24.8,
55289004015,I24.8,
54569033904,I24.8,
